parte_cap;capitulo_cap;long_media_frases_cap;densidad_lexica_cap;legibilidad_fhuerta_cap
1;1;64,64;0,43;27,92
1;2;70,62;0,45;22,22
1;3;73,38;0,45;19,8
1;4;49,47;0,44;43,01
1;5;62,53;0,41;33,12
1;6;38,18;0,42;55,36
1;7;49,32;0,43;44,58
1;8;51,69;0,44;40,14
1;9;70,97;0,43;23,28
1;10;48,94;0,44;44,96
1;11;46,14;0,45;44,95
1;12;43,44;0,42;50,06
1;13;55,36;0,42;35,6
1;14;52,47;0,45;41,51
1;15;49,14;0,44;43,53
1;16;51,85;0,44;39,39
1;17;48,91;0,44;45,06
1;18;56,13;0,43;38,15
1;19;59,71;0,42;34,18
1;20;53,76;0,43;41,35
1;21;47,5;0,44;48,51
1;22;46,49;0,43;47
1;23;53,74;0,43;38,98
1;24;59,13;0,43;32,66
1;25;48,04;0,42;47,24
1;26;51,46;0,41;44,46
1;27;55,65;0,44;37,49
1;28;64,66;0,43;30,44
1;29;61,27;0,43;33,73
1;30;51,93;0,44;42,3
1;31;43,46;0,42;50,79
1;32;52,75;0,44;40,71
1;33;62,67;0,42;31,36
1;34;52,94;0,43;38,1
1;35;51,33;0,43;43,59
1;36;64,04;0,42;30,25
1;37;58,22;0,42;36,51
1;38;61,03;0,43;32,48
1;39;60,05;0,4;33,46
1;40;58,7;0,41;36,63
1;41;63,66;0,43;31,65
1;42;49,6;0,42;42,44
1;43;58,15;0,44;37,49
1;44;66,33;0,42;30,55
1;45;58,03;0,42;37,75
1;46;76,44;0,44;19,61
1;47;55,24;0,43;35,92
1;48;58,71;0,43;32,32
1;49;71,94;0,41;23,83
1;50;67,04;0,46;28,52
1;51;64,87;0,42;29,5
1;52;60,56;0,43;32,16
2;1;57,52;0,44;35,39
2;2;38,49;0,41;55,31
2;3;47,48;0,41;45,1
2;4;61,69;0,4;35,66
2;5;57,33;0,43;41,87
2;6;75,94;0,43;23,9
2;7;52,11;0,44;43,11
2;8;59,63;0,42;33,34
2;9;44,95;0,43;49,76
2;10;46,75;0,44;46,55
2;11;55,77;0,42;38,05
2;12;52,89;0,42;40,65
2;13;46,97;0,43;48,31
2;14;60,45;0,42;34,21
2;15;63,5;0,4;27,53
2;16;63,26;0,43;31,93
2;17;50,78;0,44;42,54
2;18;62,78;0,43;34,52
2;19;57,08;0,42;35,38
2;20;50,67;0,43;43,79
2;21;66,16;0,44;27,12
2;22;53,8;0,43;38,21
2;23;61,29;0,43;33,91
2;24;55,58;0,43;37,65
2;25;56,01;0,43;42,09
2;26;61,73;0,44;32,99
2;27;67,3;0,42;26,55
2;28;45,77;0,43;49,96
2;29;51,62;0,43;42,58
2;30;53,64;0,41;39,71
2;31;51,08;0,43;43,23
2;32;64,64;0,42;30,95
2;33;77,4;0,41;24,91
2;34;51,3;0,43;41,65
2;35;61,98;0,44;35,97
2;36;46,32;0,44;44,72
2;37;44,43;0,42;47,66
2;38;61,76;0,44;31,32
2;39;61,05;0,45;31,03
2;40;57,2;0,41;38,65
2;41;58,2;0,43;38,67
2;42;49,34;0,43;44,13
2;43;49,19;0,44;46,45
2;44;59,9;0,42;36,43
2;45;48,97;0,43;46,89
2;46;51,54;0,44;39,28
2;47;46,48;0,43;47,96
2;48;53,35;0,45;40,14
2;49;49,19;0,44;46,59
2;50;53,76;0,42;44,54
2;51;62,36;0,43;33,98
2;52;64,6;0,43;32,48
2;53;53,02;0,45;41,69
2;54;58,68;0,42;36,68
2;55;57,34;0,43;37,15
2;56;59,58;0,43;33,27
2;57;39,12;0,42;51,16
2;58;56,12;0,42;35,67
2;59;45,16;0,43;45,92
2;60;59,09;0,42;32,9
2;61;50,56;0,43;37,93
2;62;42,5;0,43;49,16
2;63;44,75;0,44;46,82
2;64;55,17;0,4;37,33
2;65;49,76;0,41;43,34
2;66;55,57;0,44;40,57
2;67;54,54;0,43;39,51
2;68;46,49;0,43;46,63
2;69;55,05;0,43;39,98
2;70;47,52;0,43;43,85
2;71;51,8;0,43;42,97
2;72;52,79;0,41;42
2;73;49,57;0,41;43,83
2;74;51;0,43;40,19
